timestamp,ais_distance,ais_bearing,ais_width,ais_length,ai_bearing,imageIndex,y_max_rel,height,height_rel,width,width_rel,vessel_course,mode,match
2020-07-01T04:08:00+00:00,2427.5,37.8,30.0,210.0,37.39,3,50.556,77.0,7.13,69.0,0.719,37.3,open_sea,1
2020-07-01T04:14:00+00:00,2482.6,38.3,30.0,210.0,37.07,3,50.556,53.0,4.907,37.0,0.385,36.9,open_sea,1
2020-07-01T04:17:00+00:00,2548.1,36.9,30.0,210.0,36.45,3,54.074,69.0,6.389,63.0,0.656,37.3,open_sea,1
2020-07-01T04:19:00+00:00,2556.2,36.0,30.0,210.0,35.34,3,51.481,57.0,5.278,38.0,0.396,37.4,open_sea,1
2020-07-01T04:21:00+00:00,2617.1,35.2,30.0,210.0,34.28,3,55.556,96.0,8.889,96.0,1.0,37.9,open_sea,1
2020-07-01T04:22:00+00:00,2641.5,34.9,30.0,210.0,34.31,3,50.556,69.0,6.389,43.0,0.448,37.6,open_sea,1
2020-07-01T04:24:00+00:00,2706.1,33.8,30.0,210.0,33.52,3,50.37,85.0,7.87,65.0,0.677,37.5,open_sea,1
2020-07-01T04:25:00+00:00,2717.4,33.2,30.0,210.0,33.04,3,50.648,59.0,5.463,36.0,0.375,37.4,open_sea,1
2020-07-01T04:26:00+00:00,2737.5,33.0,30.0,210.0,32.43,3,50.741,48.0,4.444,38.0,0.396,37.6,open_sea,1
2020-07-01T04:31:00+00:00,2825.4,31.7,30.0,210.0,31.81,3,49.722,60.0,5.556,30.0,0.312,34.1,open_sea,1
2020-07-01T04:33:00+00:00,2868.3,32.4,30.0,210.0,32.0,3,49.074,53.0,4.907,42.0,0.438,33.2,open_sea,1
2020-07-01T04:38:00+00:00,3007.8,33.7,30.0,210.0,32.95,3,50.648,103.0,9.537,62.0,0.646,36.9,open_sea,1
2020-07-01T04:42:00+00:00,3119.8,33.4,30.0,210.0,32.71,3,50.648,57.0,5.278,37.0,0.385,37.2,open_sea,1
2020-07-01T04:44:00+00:00,3138.2,32.4,30.0,210.0,32.62,3,50.185,50.0,4.63,33.0,0.344,37.0,open_sea,1
2020-07-01T04:46:00+00:00,3209.8,32.3,30.0,210.0,32.25,3,50.0,51.0,4.722,40.0,0.417,37.0,open_sea,1
2020-07-01T04:48:00+00:00,3234.8,29.4,30.0,210.0,28.52,3,50.093,59.0,5.463,47.0,0.49,36.6,open_sea,1
2020-07-01T04:52:00+00:00,3560.4,24.7,30.0,210.0,25.32,2,57.037,51.0,4.722,28.0,0.292,37.4,open_sea,1
2020-07-01T04:53:00+00:00,3736.0,23.7,30.0,210.0,23.78,2,58.426,51.0,4.722,30.0,0.312,34.8,open_sea,1
2020-07-01T04:54:00+00:00,3854.0,23.5,30.0,210.0,23.69,3,49.907,48.0,4.444,30.0,0.312,29.0,open_sea,1
2020-07-01T04:58:00+00:00,4733.6,25.1,30.0,210.0,24.22,3,49.074,48.0,4.444,32.0,0.333,23.6,open_sea,1
2020-07-01T05:00:00+00:00,5009.6,26.0,30.0,210.0,24.63,3,48.889,48.0,4.444,26.0,0.271,18.9,open_sea,1
2020-07-01T05:17:00+00:00,5734.0,37.4,30.0,210.0,37.03,3,49.167,50.0,4.63,33.0,0.344,26.1,open_sea,1
2020-07-01T05:17:00+00:00,10195.8,36.6,26.0,176.0,36.47,3,48.889,50.0,4.63,32.0,0.333,26.1,open_sea,1
2020-07-01T05:23:00+00:00,5552.3,33.0,26.0,176.0,33.35,2,55.37,48.0,4.444,30.0,0.312,44.2,open_sea,1
2020-07-01T05:23:00+00:00,6097.0,39.3,30.0,210.0,39.48,3,50.185,48.0,4.444,32.0,0.333,44.2,open_sea,1
2020-07-01T05:26:00+00:00,6285.3,39.7,30.0,210.0,40.06,3,49.722,50.0,4.63,35.0,0.365,44.0,open_sea,1
2020-07-01T05:30:00+00:00,6468.7,40.3,30.0,210.0,39.67,3,49.259,49.0,4.537,31.0,0.323,45.4,open_sea,1
2020-07-01T05:32:00+00:00,6587.7,40.5,30.0,210.0,40.24,3,49.259,51.0,4.722,31.0,0.323,46.0,open_sea,1
2020-07-01T05:33:00+00:00,6630.8,40.6,30.0,210.0,39.75,3,48.981,53.0,4.907,30.0,0.312,45.9,open_sea,1
2020-07-01T05:36:00+00:00,6701.5,38.9,30.0,210.0,38.83,3,49.907,48.0,4.444,37.0,0.385,46.1,open_sea,1
2020-07-01T05:42:00+00:00,6846.3,33.3,30.0,210.0,32.97,3,49.259,48.0,4.444,35.0,0.365,38.1,open_sea,1
2020-07-01T05:43:00+00:00,6874.6,32.8,30.0,210.0,32.3,3,48.704,51.0,4.722,34.0,0.354,37.4,open_sea,1
2020-07-01T05:44:00+00:00,6934.9,32.5,30.0,210.0,31.68,3,49.444,51.0,4.722,30.0,0.312,35.8,open_sea,1
2020-07-01T05:46:00+00:00,6968.0,31.8,30.0,210.0,31.36,3,47.685,49.0,4.537,34.0,0.354,37.0,open_sea,1
2020-07-01T07:11:00+00:00,9711.3,37.7,30.0,210.0,36.64,3,50.37,48.0,4.444,32.0,0.333,33.0,open_sea,1
2020-07-01T07:11:00+00:00,19441.0,29.0,37.0,229.0,26.31,3,54.815,53.0,4.907,35.0,0.365,33.0,open_sea,1
2020-07-01T07:12:00+00:00,18352.0,28.8,37.0,229.0,23.77,3,55.926,51.0,4.722,39.0,0.406,32.8,open_sea,1
2020-07-01T07:14:00+00:00,9842.0,38.2,30.0,210.0,36.38,3,48.611,51.0,4.722,37.0,0.385,32.9,open_sea,1
2020-07-01T07:15:00+00:00,16166.3,28.2,37.0,229.0,26.39,2,56.296,52.0,4.815,34.0,0.354,34.0,open_sea,1
2020-07-01T07:33:00+00:00,10388.0,38.2,30.0,210.0,27.46,3,49.907,49.0,4.537,35.0,0.365,34.0,open_sea,1
2020-07-01T07:40:00+00:00,10414.5,36.9,30.0,210.0,36.8,3,47.778,48.0,4.444,34.0,0.354,37.2,open_sea,1
2020-07-01T07:51:00+00:00,10275.1,37.8,30.0,210.0,44.55,3,47.593,49.0,4.537,30.0,0.312,32.7,open_sea,1
2020-07-01T08:10:00+00:00,9436.0,30.7,30.0,210.0,30.19,3,49.352,48.0,4.444,33.0,0.344,33.2,open_sea,1
2020-07-01T09:43:00+00:00,11130.9,328.9,32.0,190.0,328.14,3,55.093,50.0,4.63,43.0,0.448,336.2,open_sea,1
2020-07-01T09:51:00+00:00,10925.1,320.5,14.0,88.0,315.45,2,58.519,45.0,4.167,110.0,1.146,336.2,open_sea,1
2020-07-01T09:56:00+00:00,23269.4,16.1,15.0,102.0,13.19,4,49.815,48.0,4.444,36.0,0.375,338.2,open_sea,1
2020-07-01T09:59:00+00:00,21617.6,20.4,15.0,102.0,11.84,4,46.944,79.0,7.315,102.0,1.063,338.1,open_sea,1
2020-07-01T10:00:00+00:00,21302.1,21.3,15.0,102.0,12.36,5,46.574,97.0,8.981,65.0,0.677,337.8,open_sea,1
2020-07-01T10:42:00+00:00,4111.6,336.9,23.0,144.0,337.19,3,49.63,49.0,4.537,34.0,0.354,341.3,open_sea,1
2020-07-01T10:42:00+00:00,12275.7,335.8,30.0,210.0,336.31,3,50.0,52.0,4.815,34.0,0.354,341.3,open_sea,1
2020-07-01T11:27:00+00:00,16018.0,15.4,22.0,141.0,14.19,4,43.611,57.0,5.278,169.0,1.76,341.2,open_sea,1
2020-07-01T11:28:00+00:00,15527.2,16.3,22.0,141.0,14.77,4,43.796,67.0,6.204,200.0,2.083,341.9,open_sea,1
2020-07-01T11:31:00+00:00,3473.0,345.1,22.0,138.0,345.68,3,57.5,62.0,5.741,159.0,1.656,342.0,open_sea,1
2020-07-01T11:33:00+00:00,1770.4,5.0,22.0,138.0,7.19,4,48.611,56.0,5.185,221.0,2.302,341.7,open_sea,1
2020-07-01T11:39:00+00:00,10221.1,1.8,19.0,115.0,359.98,4,45.648,48.0,4.444,24.0,0.25,341.8,open_sea,1
2020-07-01T11:43:00+00:00,20774.4,353.7,10.0,48.0,357.78,4,47.5,50.0,4.63,24.0,0.25,342.3,open_sea,1
2020-07-01T11:50:00+00:00,17531.1,358.9,10.0,48.0,2.24,4,44.074,64.0,5.926,132.0,1.375,328.7,open_sea,1
2020-07-01T11:53:00+00:00,16349.7,3.2,10.0,48.0,350.18,4,42.13,58.0,5.37,151.0,1.573,317.2,open_sea,1
2020-07-01T11:58:00+00:00,15023.8,10.9,10.0,48.0,354.17,5,49.815,48.0,4.444,30.0,0.313,318.2,open_sea,1
2020-07-01T12:00:00+00:00,10761.5,353.0,19.0,115.0,353.77,5,48.426,121.0,11.204,66.0,0.688,318.2,open_sea,1
2020-07-01T12:03:00+00:00,11026.2,354.2,19.0,115.0,353.67,5,46.111,48.0,4.444,25.0,0.26,318.0,open_sea,1
2020-07-01T12:03:00+00:00,14252.9,352.4,12.0,90.0,351.48,4,47.037,50.0,4.63,27.0,0.281,318.0,open_sea,1
2020-07-01T12:05:00+00:00,14099.5,354.7,12.0,90.0,353.4,5,47.5,51.0,4.722,26.0,0.271,317.5,open_sea,1
2020-07-01T12:09:00+00:00,5126.7,322.8,28.0,155.0,321.08,3,50.463,58.0,5.37,88.0,0.917,317.8,open_sea,1
2020-07-01T12:10:00+00:00,4388.4,333.0,28.0,155.0,331.06,4,49.352,62.0,5.741,152.0,1.583,318.6,open_sea,1
2020-07-01T12:11:00+00:00,4085.9,339.2,28.0,155.0,337.34,4,46.759,50.0,4.63,133.0,1.385,318.1,open_sea,1
2020-07-01T12:12:00+00:00,3649.3,354.6,28.0,155.0,352.6,5,51.111,95.0,8.796,112.0,1.167,317.6,open_sea,1
2020-07-01T12:13:00+00:00,3546.1,3.2,28.0,155.0,0.91,5,50.833,65.0,6.019,173.0,1.802,317.8,open_sea,1
2020-07-01T13:07:00+00:00,7976.7,329.3,4.0,16.0,327.58,4,45.278,49.0,4.537,27.0,0.281,314.3,open_sea,1
2020-07-01T13:10:00+00:00,6017.1,347.1,4.0,16.0,348.48,4,49.167,48.0,4.444,33.0,0.344,314.0,open_sea,1
2020-07-01T13:21:00+00:00,23201.1,330.3,16.0,113.0,327.57,4,45.741,50.0,4.63,30.0,0.312,314.2,open_sea,1
2020-07-01T13:35:00+00:00,1998.8,9.3,26.0,162.0,5.99,5,46.481,66.0,6.111,293.0,3.052,314.4,open_sea,1
2020-07-01T13:37:00+00:00,10900.1,353.8,16.0,113.0,357.54,5,49.074,53.0,4.907,187.0,1.948,313.8,open_sea,1
2020-07-01T13:38:00+00:00,10021.2,357.5,16.0,113.0,354.45,5,49.722,53.0,4.907,134.0,1.396,314.2,open_sea,1
2020-07-01T13:39:00+00:00,2437.3,353.2,26.0,162.0,351.21,5,54.352,68.0,6.296,166.0,1.729,314.4,open_sea,1
